,accommodates,bedrooms,bathrooms,minstay,latitude,longitude,Entire home/apt,Private room,Shared room,price
94,1.0,1.0,1.0,7.0,35.697322,139.637201,0.0,1.0,0.0,34
95,4.0,1.0,1.0,1.0,35.66377,139.736601,1.0,0.0,0.0,69
97,1.0,1.0,0.0,4.0,35.693144,139.676014,0.0,1.0,0.0,28
98,2.0,1.0,1.0,4.0,35.742642,139.658322,1.0,0.0,0.0,40
99,2.0,1.0,1.0,1.0,35.620561,139.726655,0.0,1.0,0.0,40
100,5.0,1.0,1.0,3.0,35.543969,139.710112,1.0,0.0,0.0,52
102,4.0,1.0,1.0,0.0,35.661519,139.664901,1.0,0.0,0.0,73
103,2.0,1.0,1.0,0.0,35.65536,139.713604,1.0,0.0,0.0,74
106,3.0,1.0,1.0,3.0,35.668304,139.653179,1.0,0.0,0.0,73
107,3.0,1.0,1.0,1.0,35.732842,139.727554,1.0,0.0,0.0,52
108,2.0,1.0,1.0,2.0,35.663919,139.667362,1.0,0.0,0.0,60
109,2.0,1.0,1.0,3.0,35.73817,139.767828,0.0,1.0,0.0,60
111,2.0,1.0,1.5,0.0,35.747949,139.735171,0.0,1.0,0.0,34
112,2.0,1.0,1.0,1.0,35.582703,139.715235,0.0,1.0,0.0,34
113,2.0,1.0,1.0,1.0,35.639246,139.694648,0.0,1.0,0.0,89
114,2.0,1.0,1.0,3.0,35.661227,139.731391,0.0,1.0,0.0,56
115,4.0,2.0,1.5,5.0,35.656016,139.627858,1.0,0.0,0.0,112
116,2.0,1.0,1.0,0.0,35.686756,139.692228,1.0,0.0,0.0,70
117,2.0,1.0,1.0,3.0,35.700997,139.647775,1.0,0.0,0.0,80
118,3.0,1.0,1.0,21.0,35.674176,139.773491,1.0,0.0,0.0,82
119,2.0,1.0,1.0,0.0,35.691826,139.671353,1.0,0.0,0.0,63
120,3.0,1.0,1.0,0.0,35.720327,139.770645,1.0,0.0,0.0,82
121,4.0,0.0,1.0,2.0,35.683222,139.697187,1.0,0.0,0.0,69
124,2.0,1.0,1.0,1.0,35.641471,139.650428,0.0,1.0,0.0,85
125,3.0,1.0,1.0,3.0,35.66832,139.651592,1.0,0.0,0.0,86
126,5.0,1.0,1.0,1.0,35.656501,139.697842,1.0,0.0,0.0,70
127,4.0,1.0,1.0,2.0,35.66507,139.730088,1.0,0.0,0.0,68
129,4.0,1.0,1.0,2.0,35.673983,139.738523,1.0,0.0,0.0,153
130,1.0,1.0,1.0,4.0,35.692954,139.677587,0.0,1.0,0.0,29
131,3.0,1.0,1.0,4.0,35.708652,139.696808,1.0,0.0,0.0,69
132,4.0,1.0,1.0,2.0,35.657948,139.697563,1.0,0.0,0.0,78
135,3.0,1.0,1.0,3.0,35.640761,139.745659,0.0,1.0,0.0,80
136,1.0,1.0,0.0,4.0,35.693001,139.675543,0.0,1.0,0.0,26
137,2.0,1.0,1.0,2.0,35.668619,139.733704,1.0,0.0,0.0,68
139,1.0,1.0,3.0,1.0,35.695334,139.707,0.0,1.0,0.0,40
141,1.0,1.0,1.0,5.0,35.693823,139.6759,0.0,1.0,0.0,30
142,5.0,1.0,1.0,5.0,35.699777,139.686453,0.0,1.0,0.0,28
145,1.0,1.0,1.0,2.0,35.70661,139.724245,0.0,1.0,0.0,33
146,5.0,1.0,1.0,1.0,35.727561,139.727914,1.0,0.0,0.0,60
147,2.0,1.0,1.0,3.0,35.716072,139.867836,1.0,0.0,0.0,60
148,2.0,1.0,1.0,2.0,35.671141,139.705474,1.0,0.0,0.0,78
149,4.0,1.0,1.0,0.0,35.660809,139.696547,1.0,0.0,0.0,108
150,3.0,1.0,1.0,1.0,35.582232,139.713552,0.0,1.0,0.0,52
151,2.0,1.0,1.0,1.0,35.729624,139.781709,0.0,1.0,0.0,41
152,3.0,1.0,1.0,0.0,35.663445,139.664151,1.0,0.0,0.0,60
153,3.0,1.0,2.0,1.0,35.581935,139.710897,0.0,1.0,0.0,52
154,2.0,1.0,3.0,1.0,35.696019,139.706345,0.0,1.0,0.0,43
155,2.0,1.0,0.0,3.0,35.629822,139.75608,0.0,1.0,0.0,52
156,4.0,1.0,1.0,2.0,35.668921,139.732715,1.0,0.0,0.0,67
157,4.0,1.0,1.0,2.0,35.667375,139.733173,1.0,0.0,0.0,68
158,3.0,1.0,3.0,4.0,35.696806,139.705998,0.0,1.0,0.0,52
159,3.0,1.0,3.0,1.0,35.695186,139.707054,0.0,1.0,0.0,39
160,1.0,1.0,3.0,1.0,35.697367,139.707074,0.0,1.0,0.0,41
161,3.0,1.0,3.0,4.0,35.695739,139.706016,0.0,1.0,0.0,37
162,2.0,1.0,1.0,1.0,35.6692,139.712416,1.0,0.0,0.0,95
163,2.0,1.0,1.0,0.0,35.686887,139.694135,1.0,0.0,0.0,70
164,2.0,1.0,1.0,4.0,35.642779,139.665124,0.0,1.0,0.0,59
165,3.0,1.0,1.0,7.0,35.687153,139.694405,1.0,0.0,0.0,130
166,4.0,1.0,1.0,0.0,35.661092,139.66332,1.0,0.0,0.0,69
167,2.0,1.0,1.0,1.0,35.671092,139.709461,1.0,0.0,0.0,95
168,4.0,1.0,1.0,2.0,35.666853,139.733038,1.0,0.0,0.0,67
169,5.0,1.0,1.0,1.0,35.659552,139.693217,1.0,0.0,0.0,70
171,5.0,2.0,1.0,5.0,35.715674,139.75417,1.0,0.0,0.0,142
172,3.0,1.0,1.0,2.0,35.675936,139.709324,1.0,0.0,0.0,115
173,2.0,1.0,1.0,3.0,35.702885,139.643484,1.0,0.0,0.0,70
174,2.0,1.0,1.0,1.0,35.738335,139.83496,0.0,0.0,1.0,45
175,1.0,1.0,1.0,0.0,35.658322,139.671594,0.0,1.0,0.0,73
176,4.0,1.0,1.0,2.0,35.752788,139.714107,1.0,0.0,0.0,43
177,8.0,2.0,1.0,3.0,35.665327,139.70875,1.0,0.0,0.0,499
178,1.0,1.0,1.0,1.0,35.652654,139.706072,0.0,0.0,1.0,95
179,2.0,1.0,1.0,3.0,35.742497,139.79734,0.0,1.0,0.0,28
180,5.0,2.0,1.0,3.0,35.668629,139.670875,1.0,0.0,0.0,84
181,2.0,1.0,1.0,3.0,35.679069,139.734638,1.0,0.0,0.0,103
182,4.0,1.0,1.0,1.0,35.573735,139.711747,0.0,0.0,1.0,25
183,3.0,1.0,1.0,2.0,35.702982,139.796343,1.0,0.0,0.0,86
