,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
41554,2016-09-22,Greece,37.98653374286178,23.738342131825505,3.0,1.0,1.0,2.0,40.0,25.0,2.0,10.0,3.0,1125.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,9
41555,2015-11-05,Greece,37.98681014621491,23.743397842815757,3.0,1.0,1.0,2.0,27.0,5.0,2.0,10.0,1.0,1125.0,105.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,11
41557,2016-03-10,Greece,37.99834941261436,23.746240208068265,2.0,1.0,1.0,1.0,22.0,5.0,1.0,0.0,2.0,1125.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,3
41558,2013-01-29,Greece,38.001458754550136,23.74573978618721,3.0,1.0,1.0,1.0,24.0,15.0,1.0,10.0,2.0,20.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
41559,2015-02-09,Greece,37.99855982043064,23.744932969696944,6.0,2.0,3.0,4.0,85.0,35.0,1.0,0.0,2.0,10.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2
41561,2011-06-12,Greece,37.9532280984802,23.726446659150245,4.0,1.0,1.0,1.0,17.0,0.0,1.0,5.0,2.0,90.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,6
41563,2014-05-12,Greece,37.96447434302287,23.733787437969365,4.0,1.0,1.0,2.0,40.0,15.0,2.0,10.0,3.0,3030.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5
41564,2015-03-16,Greece,37.96394576402403,23.728523865976427,4.0,1.0,1.0,2.0,44.0,15.0,2.0,8.0,1.0,1125.0,176.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
41565,2015-02-16,Greece,37.965851301594725,23.729605004404924,2.0,1.0,1.0,1.0,48.0,0.0,1.0,0.0,2.0,1125.0,57.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2
41566,2016-02-25,Greece,38.00657728061727,23.72546118779247,4.0,1.0,1.0,2.0,25.0,15.0,2.0,6.0,2.0,1125.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2
41567,2014-04-09,Greece,38.01278973909103,23.724547952877515,3.0,1.0,1.0,1.0,22.0,18.0,2.0,8.0,2.0,1125.0,127.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,4
41570,2016-06-01,Greece,37.97316938577376,23.749410144180487,3.0,1.0,1.0,1.0,44.0,25.0,2.0,10.0,2.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,6
41571,2016-06-02,Greece,37.967933227435,23.74720520144106,4.0,1.0,1.0,1.0,45.0,10.0,2.0,10.0,2.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,6
41572,2014-04-12,Greece,37.9699935241016,23.74655670705497,4.0,1.0,1.0,2.0,35.0,10.0,2.0,10.0,3.0,30.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,4
41573,2016-03-17,Greece,37.96905473153547,23.74513661429511,6.0,1.5,4.0,5.0,50.0,30.0,2.0,20.0,2.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,3
