,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
260597,2015-03-14,Austria,48.21947052798096,16.37089151346149,3.0,1.0,2.0,2.0,42.0,20.0,1.0,10.0,2.0,30.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,3
260598,2014-03-24,Austria,48.21228393205851,16.38317704312411,5.0,1.0,2.0,6.0,95.0,0.0,2.0,15.0,3.0,30.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
260599,2016-01-15,Austria,48.219455233046645,16.384930070821113,2.0,1.0,2.0,1.0,55.0,0.0,2.0,9.0,1.0,1125.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1
260600,2014-02-01,Austria,48.2214334302104,16.386850053401766,4.0,1.0,2.0,2.0,65.0,30.0,3.0,15.0,3.0,1125.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,2
260601,2012-03-06,Austria,48.19387057409693,16.385101033533456,2.0,1.0,0.0,1.0,69.0,0.0,2.0,30.0,1.0,365.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3
260603,2016-05-26,Austria,48.19817559810371,16.404515517615682,2.0,1.0,1.0,1.0,30.0,0.0,1.0,10.0,2.0,1125.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,5
260604,2015-10-07,Austria,48.19945629749618,16.381594910875943,2.0,1.0,0.0,2.0,50.0,10.0,2.0,10.0,1.0,1125.0,104.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,10
260605,2014-12-30,Austria,48.21162685839855,16.390347637788118,4.0,1.0,0.0,2.0,59.0,0.0,2.0,25.0,2.0,1125.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,12
260606,2014-12-28,Austria,48.20485754185765,16.389586398207765,4.0,1.0,1.0,2.0,35.0,19.0,2.0,15.0,1.0,1125.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,12
260607,2015-08-07,Austria,48.2023754816072,16.384555293860974,2.0,1.5,1.0,3.0,45.0,0.0,2.0,0.0,15.0,60.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,8
260608,2015-03-23,Austria,48.20390860194248,16.38506458557759,6.0,1.5,2.0,4.0,138.0,48.0,4.0,20.0,3.0,1125.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
260609,2015-10-30,Austria,48.21748711183994,16.406494809315816,4.0,1.5,1.0,2.0,99.0,30.0,2.0,25.0,3.0,1125.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,10
260611,2013-04-11,Austria,48.21769768892888,16.3754991132632,3.0,1.0,1.0,1.0,50.0,85.0,3.0,10.0,7.0,30.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,4
