,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
319684,2016-03-29,Hong Kong,22.357899294482248,114.25284141496095,1.0,1.0,1.0,1.0,504.0,155.0,2.0,194.0,2.0,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3
319685,2016-05-12,Hong Kong,22.295905046329565,114.17318968501904,2.0,1.0,1.0,1.0,248.0,0.0,1.0,0.0,1.0,1125.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,5
319686,2016-05-09,Hong Kong,22.30038306138284,114.17289816436153,2.0,1.0,1.0,1.0,318.0,0.0,1.0,0.0,1.0,1125.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5
319688,2014-11-05,Hong Kong,22.309453162428422,114.17029748721872,6.0,2.0,1.0,6.0,147.0,0.0,1.0,170.0,1.0,1125.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,11
319689,2014-11-05,Hong Kong,22.30926087404882,114.17059336048068,10.0,2.0,1.0,10.0,147.0,0.0,1.0,170.0,1.0,1125.0,54.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,11
319692,2013-09-17,Hong Kong,22.30663748514563,114.17090664272666,4.0,1.0,1.0,3.0,597.0,0.0,4.0,0.0,1.0,1125.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,9
319694,2014-09-29,Hong Kong,22.304461302230276,114.1729857774994,3.0,1.0,1.0,2.0,496.0,0.0,1.0,0.0,1.0,1125.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,9
319695,2015-10-09,Hong Kong,22.297525031819955,114.17067873725334,8.0,4.0,1.0,8.0,178.0,0.0,1.0,180.0,1.0,1125.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4,10
319696,2014-05-04,Hong Kong,22.29809557279016,114.17098372712174,2.0,1.0,1.0,2.0,597.0,0.0,2.0,250.0,1.0,1125.0,52.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,5
319697,2013-11-08,Hong Kong,22.31564359094075,114.16930334246092,3.0,1.0,1.0,2.0,318.0,80.0,1.0,100.0,1.0,1125.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,11
