,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
53,2012-09-14,Denmark,55.68462601585684,12.570429854094188,2.0,1.0,1.0,1.0,491.0,0.0,1.0,0.0,1.0,1125.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4,9
54,2011-08-17,Denmark,55.67527644492832,12.59396415145264,4.0,1.0,1.0,2.0,996.0,0.0,1.0,0.0,5.0,1125.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,8
56,2016-10-13,Denmark,55.68484943717909,12.586321129808203,1.0,1.0,1.0,1.0,258.0,200.0,1.0,0.0,2.0,1125.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,10
57,2013-06-19,Denmark,55.68344864989397,12.613733051484749,2.0,1.0,1.0,1.0,285.0,0.0,1.0,0.0,4.0,1125.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,6
58,2016-08-15,Denmark,55.69125794226085,12.572155261403658,2.0,1.0,1.0,1.0,969.0,350.0,1.0,0.0,5.0,1125.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,8
59,2014-06-09,Denmark,55.68121495781953,12.56557810461707,2.0,1.0,1.0,1.0,743.0,400.0,1.0,100.0,5.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,6
60,2014-05-07,Denmark,55.69042521049576,12.56987116222235,2.0,1.0,1.0,1.0,649.0,300.0,1.0,0.0,3.0,1125.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,5
62,2016-02-17,Denmark,55.681267390522265,12.56222474769508,2.0,1.0,1.0,1.0,450.0,0.0,1.0,0.0,3.0,1125.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2
63,2013-07-09,Denmark,55.67122598828068,12.591542090510645,3.0,1.0,1.0,1.0,993.0,0.0,1.0,0.0,1.0,1125.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,7
65,2013-02-07,Denmark,55.68257153604331,12.565699700010876,2.0,1.0,1.0,1.0,702.0,250.0,1.0,0.0,1.0,1125.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2
66,2012-12-02,Denmark,55.67515424823672,12.59755507491108,2.0,1.0,1.0,1.0,603.0,250.0,2.0,0.0,4.0,1125.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,12
67,2014-03-27,Denmark,55.687938318114696,12.58535355309696,4.0,1.0,2.0,2.0,702.0,160.0,1.0,100.0,2.0,1125.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,3
68,2013-06-17,Denmark,55.69292476282375,12.576484782428972,2.0,1.0,0.0,1.0,947.0,250.0,1.0,100.0,2.0,1125.0,102.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,6
69,2015-08-07,Denmark,55.67641629482256,12.598683080434276,2.0,1.0,1.0,1.0,490.0,100.0,1.0,0.0,3.0,25.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,8
70,2013-09-22,Denmark,55.6726025323006,12.594756060959236,2.0,1.0,1.0,1.0,702.0,0.0,1.0,0.0,3.0,100.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,9
72,2015-06-18,Denmark,55.67966614544903,12.576077293386929,3.0,1.0,1.0,1.0,980.0,150.0,1.0,0.0,1.0,1125.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,6
74,2015-07-30,Denmark,55.68424004433491,12.585786741537332,3.0,1.0,1.0,1.0,848.0,350.0,1.0,50.0,2.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,7
75,2014-08-13,Denmark,55.68039562533173,12.561785518964864,2.0,1.0,1.0,1.0,609.0,80.0,1.0,0.0,2.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,8
77,2015-05-08,Denmark,55.68876693885955,12.572876761976978,6.0,1.0,3.0,3.0,788.0,315.0,3.0,118.0,7.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,5
80,2014-07-07,Denmark,55.68610738746478,12.586959220488476,4.0,1.0,1.0,2.0,669.0,130.0,2.0,150.0,1.0,1125.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7
83,2013-08-07,Denmark,55.68590926221153,12.56907380182336,2.0,1.0,1.0,1.0,649.0,250.0,2.0,0.0,1.0,60.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,8
84,2016-06-12,Denmark,55.67850860942595,12.581282521179162,2.0,0.5,1.0,1.0,782.0,186.0,2.0,112.0,2.0,4.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,6
85,2017-01-23,Denmark,55.685603226533,12.570408330879014,2.0,2.0,1.0,1.0,450.0,0.0,1.0,0.0,1.0,1125.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1
86,2015-05-09,Denmark,55.68421328273391,12.575628251140518,2.0,1.0,1.0,1.0,450.0,0.0,1.0,0.0,5.0,30.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5
87,2015-02-09,Denmark,55.69513257170404,12.579754457784976,4.0,1.0,2.0,2.0,901.0,360.0,4.0,250.0,3.0,1125.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2
90,2014-03-28,Denmark,55.68816144504896,12.543244916283347,5.0,1.0,2.0,2.0,750.0,0.0,1.0,0.0,4.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,3
91,2013-12-27,Denmark,55.6930097811285,12.54697590051058,4.0,1.0,2.0,2.0,603.0,0.0,1.0,0.0,1.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,12
92,2016-07-03,Denmark,55.69294879638675,12.555964687334615,3.0,1.0,1.0,2.0,801.0,0.0,1.0,0.0,2.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,7
93,2015-10-04,Denmark,55.69438177721386,12.543959239381984,4.0,1.0,2.0,4.0,896.0,186.0,1.0,0.0,2.0,7.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,10
94,2013-05-20,Denmark,55.70297076048032,12.549118239852172,2.0,1.0,1.0,1.0,577.0,100.0,2.0,125.0,2.0,1125.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5
97,2014-07-31,Denmark,55.70088366173413,12.548793400019573,2.0,1.0,1.0,1.0,702.0,150.0,1.0,0.0,2.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,7
98,2013-07-28,Denmark,55.69804125703845,12.5500955177404,3.0,1.0,1.0,1.0,702.0,20.0,2.0,20.0,2.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,7
99,2017-04-14,Denmark,55.6928157324548,12.566914413375882,3.0,1.0,1.0,2.0,903.0,800.0,1.0,0.0,2.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,4
100,2015-06-26,Denmark,55.68753125892262,12.547751121799733,3.0,1.0,1.0,2.0,750.0,350.0,1.0,0.0,3.0,1125.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,6
101,2014-09-03,Denmark,55.68856760019463,12.559719501942846,2.0,1.0,1.0,1.0,397.0,100.0,1.0,0.0,2.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,9
102,2014-07-04,Denmark,55.69445152224789,12.550065483519036,3.0,1.0,0.0,1.0,550.0,0.0,1.0,0.0,3.0,21.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,7
103,2014-08-01,Denmark,55.70027786233346,12.550734891977545,2.0,1.0,1.0,1.0,490.0,200.0,2.0,100.0,2.0,1125.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,8
104,2013-07-03,Denmark,55.69398897865399,12.56087160497033,4.0,1.0,2.0,2.0,649.0,0.0,1.0,0.0,14.0,30.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,7
106,2016-04-27,Denmark,55.699476797624605,12.54813125296906,2.0,1.0,1.0,1.0,365.0,0.0,1.0,50.0,1.0,1125.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,4
108,2015-10-24,Denmark,55.702338346103815,12.545338396708164,2.0,1.0,0.0,1.0,425.0,100.0,2.0,50.0,2.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,10
109,2016-06-02,Denmark,55.69252298974519,12.550864688699589,4.0,1.0,2.0,3.0,901.0,0.0,1.0,0.0,2.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,6
110,2014-06-08,Denmark,55.68565506211908,12.55808275769282,2.0,1.0,1.0,1.0,450.0,300.0,2.0,0.0,1.0,1125.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,6
111,2014-12-09,Denmark,55.69763182285122,12.544281335241646,2.0,1.0,1.0,1.0,497.0,200.0,1.0,0.0,2.0,30.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,12
113,2015-08-25,Denmark,55.703749868868215,12.586732516021325,2.0,1.0,1.0,2.0,378.0,300.0,1.0,0.0,2.0,1125.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,8
117,2015-04-01,Denmark,55.71168981675316,12.56108848521026,4.0,1.0,1.0,2.0,597.0,175.0,1.0,325.0,1.0,14.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,4
118,2012-02-25,Denmark,55.69681608240827,12.572904430409688,2.0,1.0,3.0,1.0,551.0,200.0,1.0,0.0,4.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,2
119,2017-03-10,Denmark,55.70427171598991,12.58773459074195,2.0,1.0,1.0,1.0,272.0,0.0,1.0,0.0,3.0,1125.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,3
125,2016-04-30,Denmark,55.70586599050949,12.583758970978383,2.0,1.0,1.0,1.0,252.0,0.0,1.0,0.0,3.0,1125.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,4
128,2015-12-06,Denmark,55.71011745739126,12.576310760127225,2.0,1.0,1.0,1.0,451.0,100.0,1.0,0.0,3.0,1125.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,12
129,2016-07-08,Denmark,55.70210136823827,12.589565857995352,2.0,1.0,1.0,1.0,577.0,0.0,1.0,0.0,1.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,7
130,2015-10-02,Denmark,55.69846761142389,12.586331678597055,2.0,1.0,1.0,1.0,856.0,855.0,1.0,0.0,5.0,150.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,10
132,2015-09-17,Denmark,55.71002148370089,12.563157358947857,2.0,1.0,1.0,1.0,497.0,0.0,1.0,0.0,3.0,1125.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,9
134,2014-03-13,Denmark,55.69995853587858,12.5491129770898,4.0,1.0,1.0,3.0,497.0,0.0,1.0,0.0,3.0,30.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,3
135,2014-07-19,Denmark,55.70544587563479,12.5491213759515,2.0,1.0,1.0,1.0,450.0,200.0,1.0,0.0,2.0,1125.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,7
136,2014-08-25,Denmark,55.6891347043961,12.557112759860196,3.0,1.0,2.0,2.0,748.0,400.0,3.0,200.0,6.0,14.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,8
