,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
414596,2012-07-01,Belgium,50.84758008176964,4.34979199036736,6.0,1.0,2.0,3.0,139.0,25.0,4.0,15.0,1.0,1125.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,7
414597,2013-04-21,Belgium,50.84437230585569,4.3480708914629735,3.0,1.0,0.0,3.0,59.0,0.0,2.0,20.0,2.0,3000.0,288.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,4
414598,2012-11-06,Belgium,50.84191278815299,4.345211226938367,4.0,1.0,2.0,2.0,75.0,28.0,2.0,20.0,5.0,365.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,11
414599,2014-11-26,Belgium,50.82177492500239,4.3677263399952295,3.0,1.0,1.0,1.0,49.0,0.0,1.0,0.0,7.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,11
414600,2013-03-27,Belgium,50.852216600047264,4.343199409976644,6.0,1.0,2.0,3.0,70.0,15.0,2.0,5.0,2.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3
414601,2015-10-31,Belgium,50.839924960294105,4.352172007327229,2.0,1.0,1.0,1.0,50.0,0.0,1.0,0.0,1.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,10
414602,2016-04-13,Belgium,50.83009113444499,4.362269941523234,4.0,1.0,0.0,1.0,40.0,25.0,1.0,16.0,1.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,4
414603,2014-11-10,Belgium,50.84195762817453,4.378796476294984,2.0,1.5,1.0,1.0,69.0,60.0,1.0,0.0,2.0,1125.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,11
414605,2013-06-24,Belgium,50.833529250200726,4.392932878280181,1.0,1.5,1.0,1.0,20.0,30.0,1.0,5.0,7.0,1125.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,6
414607,2015-05-29,Belgium,50.82412035629,4.387919195181679,3.0,1.0,0.0,1.0,30.0,8.0,1.0,9.0,3.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,5
